objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
228,False,68.165.4,1968,False,,,[],"[{'constituentID': 1112, 'role': 'Maker', 'name': 'Léon Marcotte', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500026799', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q1717331', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,,Léon Marcotte,1824–1887,,"Marcotte, Léon",French,1824,1887,,https://www.wikidata.org/wiki/Q1717331,http://vocab.getty.edu/page/ulan/500026799,ca. 1860,1857,1860,Maple,40 1/2 x 26 x 24 3/4 in. (102.9 x 66 x 62.9 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 62.8651, 'Height': 102.9, 'Width': 66}}]","Gift of Mrs. Douglas M. Moffat, 1968",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2023-12-12T04:57:36.653Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/228,,https://www.wikidata.org/wiki/Q116390141,False,774
229,False,1975.157,1975,True,https://images.metmuseum.org/CRDImages/ad/original/ADA3161.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/ADA3161.jpg,['https://images.metmuseum.org/CRDImages/ad/original/205786.jpg'],"[{'constituentID': 1113, 'role': 'Maker', 'name': 'Marks Adjustable Folding Chair Company', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Folding armchair,Folding Armchair,American,,,,,Maker,,Marks Adjustable Folding Chair Company,1877–97,,Marks Adjustable Folding Chair Company,American,1877,1897,,,,ca. 1877–97,1877,1897,"Walnut, metal",45 3/4 x 29 x 27 1/2 in. (116.2 x 73.7 x 69.9 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 69.8501, 'Height': 116.2, 'Width': 73.7}}]","Purchase, Mrs. Russell Sage Gift, 1975",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/229,,https://www.wikidata.org/wiki/Q116373581,False,774
230,False,45.105,1945,True,https://images.metmuseum.org/CRDImages/ad/original/DP105063.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP105063.jpg,"['https://images.metmuseum.org/CRDImages/ad/original/134854.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/137108.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/135938.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/134849.jpg']","[{'constituentID': 1114, 'role': 'Maker', 'name': 'Attributed to Samuel McIntire', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500023295', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q370420', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,Attributed to,Samuel McIntire,1757–1811,,"McIntire, Samuel",American,1757,1811,,https://www.wikidata.org/wiki/Q370420,http://vocab.getty.edu/page/ulan/500023295,1801,1801,1801,"Mahogany, birch, white pine",32 1/2 x 21 x 18 in. (82.6 x 53.3 x 45.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 45.7, 'Height': 82.5502, 'Width': 53.3}}]","Rogers Fund, 1945",Made in,Salem,Massachusetts,,United States,New England,,,,,,,,,2023-09-27T04:54:32.717Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/230,,https://www.wikidata.org/wiki/Q83560005,True,
231,False,1985.189,1985,True,https://images.metmuseum.org/CRDImages/ad/original/DP-20193-002.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-20193-002.jpg,"['https://images.metmuseum.org/CRDImages/ad/original/DP-20193-001.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/ADA5604.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/GRR Chair 1985.189 Final ret.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/GRR1985.189.X.jpg']","[{'constituentID': 1115, 'role': 'Maker', 'name': 'John and Joseph W. Meeks', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,,John and Joseph W. Meeks,active ca. 1836–59,,"Meeks, John and Joseph W.",American,1833,1859,,,,ca. 1850,1847,1850,Mahogany,53 x 23 x 22 in. (134.6 x 58.4 x 55.9 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 55.9, 'Height': 134.6, 'Width': 58.4201}}]","Friends of the American Wing Fund, 1985",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/231,,https://www.wikidata.org/wiki/Q116390150,False,740
232,False,69.159.1,1969,True,https://images.metmuseum.org/CRDImages/ad/original/192570.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/192570.jpg,[],"[{'constituentID': 1116, 'role': 'Maker', 'name': 'North American Iron Works', 'constituentULAN_URL': '', 'constituentWikidata_URL': '', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,,North American Iron Works,ca. 1877–ca. 1897,,North American Iron Works,American,1874,1897,,,,1877–97,1877,1897,Cast iron,35 1/4 x 21 x 19 in. (89.5 x 53.3 x 48.3 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 48.2601, 'Height': 89.5, 'Width': 53.3}}]","Rogers Fund, 1969",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/232,,,False,
233,False,31.44.2,1931,True,https://images.metmuseum.org/CRDImages/ad/original/DP220460.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP220460.jpg,"['https://images.metmuseum.org/CRDImages/ad/original/DP220461.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/figure 70R2_24B.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/265143.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/265142.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/265141.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/265140.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/86156.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/ADA4221.jpg']","[{'constituentID': 1337, 'role': 'Artist', 'name': 'Charles-Honoré Lannuier', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500256814', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q5074741', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Artist,,Charles-Honoré Lannuier,France 1779–1819 New York,,"Lannuier, Charles-Honoré",American,1779,1819,,https://www.wikidata.org/wiki/Q5074741,http://vocab.getty.edu/page/ulan/500256814,ca. 1810,1807,1813,Mahogany,32 7/8 x 22 1/8 x 19 in. (83.5 x 56.2 x 48.3 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 48.3, 'Height': 83.5, 'Width': 56.1976}}]","The Sylmaris Collection, Gift of George Coe Graves, 1931",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2021-06-22T04:40:18.937Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/233,,https://www.wikidata.org/wiki/Q83560006,True,774
234,False,69.175,1969,True,https://images.metmuseum.org/CRDImages/ad/original/191549.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/191549.jpg,[],"[{'constituentID': 1117, 'role': 'Maker', 'name': 'Attributed to the Workshop of Duncan Phyfe', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500082047', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q3041258', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,Attributed to the Workshop of,Duncan Phyfe,"American (born Scotland), near Lock Fannich, Ross-Shire, Scotland 1768/1770–1854 New York",,"Phyfe, Duncan","American, born Scotland",1770,1854,,https://www.wikidata.org/wiki/Q3041258,http://vocab.getty.edu/page/ulan/500082047,ca. 1835,1832,1835,Rosewood,33 1/4 x 24 x 20 in. (84.5 x 61 x 50.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 50.8001, 'Height': 84.5, 'Width': 61}}]","Rogers Fund, 1969",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2023-09-27T04:54:32.717Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/234,,https://www.wikidata.org/wiki/Q116373578,False,
235,False,88.10.2,1888,True,https://images.metmuseum.org/CRDImages/ad/original/192930.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/192930.jpg,[],"[{'constituentID': 163814, 'role': 'Maker', 'name': 'Pottier and Stymus Manufacturing Company', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500330539', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q2106610', 'gender': ''}]",The American Wing,Side chair,Side chair,American,,,,,Maker,,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19,,Pottier and Stymus Manufacturing Company,,1858,1919,,https://www.wikidata.org/wiki/Q2106610,http://vocab.getty.edu/page/ulan/500330539,ca. 1875,1872,1875,Black walnut,48 3/4 x 25 1/2 x 23 in. (123.8 x 64.8 x 58.4 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 58.4, 'Height': 123.8, 'Width': 64.7701}}]","Gift of Auguste Pottier, 1888",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2023-03-24T04:47:22.74Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/235,,https://www.wikidata.org/wiki/Q116373575,False,774
236,False,88.10.3,1888,True,https://images.metmuseum.org/CRDImages/ad/original/DP341697.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP341697.jpg,"['https://images.metmuseum.org/CRDImages/ad/original/DP341696.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364531.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364532.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364533.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364534.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364535.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364536.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364537.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364538.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP364539.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP341698.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP341699.jpg']","[{'constituentID': 163814, 'role': 'Maker', 'name': 'Pottier and Stymus Manufacturing Company', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500330539', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q2106610', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19,,Pottier and Stymus Manufacturing Company,,1858,1919,,https://www.wikidata.org/wiki/Q2106610,http://vocab.getty.edu/page/ulan/500330539,ca. 1875–76,1870,1881,"Black walnut, original and reproduction upholstery",51 3/4 x 28 x 25 in. (131.4 x 71.1 x 63.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 63.5001, 'Height': 131.4, 'Width': 71.1201}}]","Gift of Auguste Pottier, 1888",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2024-03-07T04:56:54.71Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/236,,https://www.wikidata.org/wiki/Q116373574,False,
237,True,1970.35.1,1970,True,https://images.metmuseum.org/CRDImages/ad/original/DT179.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT179.jpg,['https://images.metmuseum.org/CRDImages/ad/original/ADA3177.jpg'],"[{'constituentID': 163814, 'role': 'Maker', 'name': 'Attributed to Pottier and Stymus Manufacturing Company', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500330539', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q2106610', 'gender': ''}]",The American Wing,Armchair,Armchair,American,,,,,Maker,Attributed to,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19,,Pottier and Stymus Manufacturing Company,,1858,1919,,https://www.wikidata.org/wiki/Q2106610,http://vocab.getty.edu/page/ulan/500330539,ca. 1870–75,1867,1875,"Rosewood, prickly juniper veneer, gilding, brass, original tapestry upholstery",37 x 27 1/2 x 27 1/2 in. (94 x 69.9 x 69.9 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 69.9, 'Height': 93.9802, 'Width': 69.9}}]","Funds from various donors, 1970",Made in,New York,New York,,United States,Mid-Atlantic,,,,,,,,,2023-05-27T04:54:40.257Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/237,"[{'term': 'Sphinx', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300375739', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q151480'}]",https://www.wikidata.org/wiki/Q29382865,True,736
